sector,area,price,feature,price_per_sqm,coordinates,latitude,longitude
sector 2,307,4.0,Premium,0.013029315960912053,"28.5095° N, 77.0320° E",28.5095,77.032
sector 82,307,5.5,Premium,0.017915309446254073,"28.3935° N, 76.9600° E",28.3935,76.96
sector 23,308,5.5,Basic,0.017857142857142856,"28.5121° N, 77.0478° E",28.5121,77.0478
sector 39,309,5.5,Premium,0.01779935275080906,"28.4434° N, 77.0515° E",28.4434,77.0515
sector 57,312,6.0,Basic,0.019230769230769232,"28.4232° N, 77.0752° E",28.4232,77.0752
sector 2,314,5.0,Premium,0.01592356687898089,"28.5095° N, 77.0320° E",28.5095,77.032
sector 2,314,5.09,Standard,0.01621019108280255,"28.5095° N, 77.0320° E",28.5095,77.032
sector 2,314,5.65,Standard,0.017993630573248407,"28.5095° N, 77.0320° E",28.5095,77.032
sector 46,318,6.08,Basic,0.019119496855345912,"28.4374° N, 77.0586° E",28.4374,77.0586
sector 31,319,7.1,Premium,0.022257053291536048,"28.4528° N, 77.0498° E",28.4528,77.0498
sector 7,323,4.24,Basic,0.013126934984520125,"28.4644° N, 77.0143° E",28.4644,77.0143
sector 2,325,5.5,Standard,0.016923076923076923,"28.5095° N, 77.0320° E",28.5095,77.032
sector 102,326,5.46,Standard,0.016748466257668713,"28.4750° N, 76.9715° E",28.475,76.9715
sector 108,329,3.94,Basic,0.011975683890577507,"28.5134° N, 76.9830° E",28.5134,76.983
sector 99,329,4.92,Standard,0.014954407294832826,"28.4640° N, 76.9614° E",28.464,76.9614
sector 99,329,5.35,Premium,0.016261398176291793,"28.4640° N, 76.9614° E",28.464,76.9614
sector 99,329,4.72,Premium,0.014346504559270517,"28.4640° N, 76.9614° E",28.464,76.9614
sector 24,330,9.0,Basic,0.02727272727272727,"28.4939° N, 77.1038° E",28.4939,77.1038
sector 83,330,4.25,Standard,0.012878787878787878,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 15,334,3.4,Basic,0.010179640718562874,"28.4621° N, 77.0464° E",28.4621,77.0464
sector 24,334,9.25,Basic,0.027694610778443114,"28.4939° N, 77.1038° E",28.4939,77.1038
sector 88b,334,3.4,Premium,0.010179640718562874,"28.4446° N, 76.9542° E",28.4446,76.9542
sector 65,334,9.6,Premium,0.02874251497005988,"28.4030° N, 77.0690° E",28.403,77.069
sector 88a,334,3.5,Premium,0.010479041916167664,"28.4347° N, 76.9557° E",28.4347,76.9557
sector 25,334,11.6,Standard,0.03473053892215569,"28.4844° N, 77.0860° E",28.4844,77.086
sector 65,334,9.2,Premium,0.027544910179640718,"28.4030° N, 77.0690° E",28.403,77.069
sector 2,334,1.4,Basic,0.004191616766467066,"28.5095° N, 77.0320° E",28.5095,77.032
sector 83,334,4.8,Standard,0.01437125748502994,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 83,334,4.2,Standard,0.012574850299401199,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 65,334,8.98,Premium,0.02688622754491018,"28.4030° N, 77.0690° E",28.403,77.069
sector 88b,334,3.48,Premium,0.010419161676646707,"28.4446° N, 76.9542° E",28.4446,76.9542
sector 25,334,10.55,Premium,0.03158682634730539,"28.4844° N, 77.0860° E",28.4844,77.086
sector 25,334,11.0,Premium,0.03293413173652695,"28.4844° N, 77.0860° E",28.4844,77.086
sector 52,334,4.1,Premium,0.012275449101796405,"28.4379° N, 77.0785° E",28.4379,77.0785
sector 88b,334,3.6,Premium,0.010778443113772455,"28.4446° N, 76.9542° E",28.4446,76.9542
sector 2,334,2.2,Standard,0.00658682634730539,"28.5095° N, 77.0320° E",28.5095,77.032
sector 83,334,4.88,Premium,0.014610778443113773,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 108,334,4.08,Premium,0.012215568862275449,"28.5134° N, 76.9830° E",28.5134,76.983
sector 65,334,9.2,Standard,0.027544910179640718,"28.4030° N, 77.0690° E",28.403,77.069
sector 7,334,6.6,Basic,0.019760479041916166,"28.4644° N, 77.0143° E",28.4644,77.0143
sector 25,335,10.0,Basic,0.029850746268656716,"28.4844° N, 77.0860° E",28.4844,77.086
sector 108,335,4.2,Premium,0.01253731343283582,"28.5134° N, 76.9830° E",28.5134,76.983
sector 25,336,10.65,Basic,0.03169642857142857,"28.4844° N, 77.0860° E",28.4844,77.086
sector 25,336,11.0,Basic,0.03273809523809524,"28.4844° N, 77.0860° E",28.4844,77.086
sector 26,336,10.63,Premium,0.03163690476190476,"28.4757° N, 77.1032° E",28.4757,77.1032
