property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price_per_sqft,coordinates,latitude,longitude
flat,sector 69,1.44,3.0,3.0,2,Relatively New,1381.0,0.0,0.0,0.0,High,Low Floor,0.0010427226647356988,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 113,2.37,4.0,4.0,3+,Under Construction,2060.0,0.0,0.0,0.0,Medium,High Floor,0.001150485436893204,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,sector 104,0.2,1.0,2.0,2,New Property,334.0,0.0,0.0,0.0,Medium,Mid Floor,0.0005988023952095808,"28.4788° N, 76.9960° E",28.4788,76.996
flat,sector 33,1.5,2.0,2.0,3+,Under Construction,1539.0,0.0,0.0,0.0,Medium,Low Floor,0.0009746588693957114,"28.4420° N, 77.0207° E",28.442,77.0207
flat,sector 113,1.83,2.0,2.0,0,New Property,1310.0,0.0,0.0,0.0,Medium,Mid Floor,0.0013969465648854963,"28.5287° N, 77.0233° E",28.5287,77.0233
house,sector 4,3.2,3.0,3.0,2,Old Property,2250.0,0.0,0.0,0.0,Low,Low Floor,0.0014222222222222223,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,sector 88a,0.5,3.0,2.0,2,Under Construction,663.0,0.0,0.0,0.0,Low,Low Floor,0.0007541478129713424,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,sector 41,3.4,4.0,4.0,3,Old Property,2900.0,0.0,0.0,0.0,Low,Low Floor,0.0011724137931034483,"28.4557° N, 77.0632° E",28.4557,77.0632
flat,sector 102,4.55,4.0,4.0,3+,Relatively New,4630.0,0.0,0.0,1.0,Medium,High Floor,0.000982721382289417,"28.4750° N, 76.9715° E",28.475,76.9715
flat,sector 49,1.72,3.0,3.0,2,Old Property,2444.0,0.0,0.0,1.0,Medium,Low Floor,0.0007037643207855974,"28.4121° N, 77.0480° E",28.4121,77.048
flat,sector 61,2.2,3.0,3.0,2,Under Construction,1778.0,0.0,0.0,0.0,Low,Low Floor,0.0012373453318335209,"28.4050° N, 77.0963° E",28.405,77.0963
flat,sector 82,0.63,2.0,2.0,3+,Relatively New,1026.0,0.0,0.0,0.0,Medium,Low Floor,0.0006140350877192983,"28.3935° N, 76.9600° E",28.3935,76.96
flat,sector 37,1.4,3.0,3.0,3+,Relatively New,1890.0,1.0,0.0,0.0,Medium,Mid Floor,0.0007407407407407407,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,sector 70,1.13,3.0,3.0,2,Under Construction,1457.0,0.0,0.0,0.0,Low,Low Floor,0.0007755662319835278,"28.3968° N, 77.0233° E",28.3968,77.0233
house,sector 104,1.95,3.0,5.0,3+,Moderately Old,920.0,0.0,0.0,0.0,Medium,Low Floor,0.0021195652173913045,"28.4788° N, 76.9960° E",28.4788,76.996
flat,sector 70,1.75,3.0,5.0,0,Relatively New,1950.0,0.0,0.0,0.0,Low,Low Floor,0.0008974358974358974,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,sector 103,2.45,4.0,4.0,3,Relatively New,2602.0,1.0,1.0,0.0,Low,High Floor,0.0009415833973866257,"28.4949° N, 76.9845° E",28.4949,76.9845
house,sector 82,4.7,3.0,3.0,3+,New Property,2160.0,1.0,0.0,0.0,Low,Mid Floor,0.002175925925925926,"28.3935° N, 76.9600° E",28.3935,76.96
house,sector 28,0.7,2.0,2.0,0,Old Property,864.0,0.0,0.0,0.0,Low,Low Floor,0.0008101851851851852,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sector 89,1.3,3.0,3.0,2,New Property,1179.0,0.0,0.0,0.0,Low,Low Floor,0.0011026293469041562,"28.4253° N, 76.9439° E",28.4253,76.9439
